Vardas Pavarde ND1 ND2 ND3 ND4 ND5 ND6 ND7 ND8 ND9 ND10 Egz
Vardas1 Pavarde1 10 4 6 1 9 2 8 2 10 1 2
Vardas2 Pavarde2 7 10 10 8 9 10 5 10 3 2 6
Vardas3 Pavarde3 10 5 4 7 7 6 5 9 6 3 4
Vardas4 Pavarde4 7 1 7 8 7 6 2 4 3 9 3
Vardas5 Pavarde5 7 6 4 1 2 8 2 6 6 6 6
Vardas6 Pavarde6 7 10 4 10 10 4 6 8 4 7 8
Vardas7 Pavarde7 8 10 3 9 1 8 7 6 2 7 9
Vardas8 Pavarde8 3 8 6 9 4 6 5 7 8 1 7
Vardas9 Pavarde9 3 2 5 1 3 2 4 7 6 10 6
Vardas10 Pavarde10 10 5 3 9 10 5 10 5 10 8 2
Vardas11 Pavarde11 4 10 6 6 5 2 2 2 10 3 8
Vardas12 Pavarde12 7 10 3 3 10 8 5 8 3 7 8
Vardas13 Pavarde13 2 4 6 5 8 6 2 1 3 3 6
Vardas14 Pavarde14 10 5 1 3 9 6 1 5 3 4 9
Vardas15 Pavarde15 3 2 5 2 3 10 6 7 8 10 7
Vardas16 Pavarde16 8 2 5 8 5 8 4 4 3 10 7
Vardas17 Pavarde17 4 1 5 8 7 8 3 4 5 1 3
Vardas18 Pavarde18 5 9 3 5 7 10 5 5 5 7 7
Vardas19 Pavarde19 3 9 8 6 5 9 3 3 1 1 6
Vardas20 Pavarde20 3 5 10 10 9 3 4 1 8 10 7
Vardas21 Pavarde21 1 10 3 4 1 4 2 7 8 7 8
Vardas22 Pavarde22 9 3 9 6 5 5 3 7 4 4 7
Vardas23 Pavarde23 1 9 9 6 1 1 1 9 1 6 4
Vardas24 Pavarde24 10 5 9 2 1 1 8 3 1 3 1
Vardas25 Pavarde25 2 4 10 6 9 1 10 2 6 8 1
Vardas26 Pavarde26 7 8 2 6 5 5 4 5 6 10 7
Vardas27 Pavarde27 10 1 2 1 5 1 4 9 8 2 6
Vardas28 Pavarde28 7 1 4 9 6 8 4 9 7 8 9
Vardas29 Pavarde29 6 2 8 1 4 7 2 8 8 5 3
Vardas30 Pavarde30 10 8 4 6 2 2 3 3 10 1 4
Vardas31 Pavarde31 1 10 3 1 5 4 3 8 2 6 8
Vardas32 Pavarde32 5 3 1 7 6 8 8 9 8 7 4
Vardas33 Pavarde33 3 10 1 10 1 1 2 9 7 1 2
Vardas34 Pavarde34 10 4 7 5 8 8 8 6 6 2 10
Vardas35 Pavarde35 8 3 5 7 1 4 10 6 3 2 4
Vardas36 Pavarde36 10 6 5 8 6 10 10 7 4 2 3
Vardas37 Pavarde37 6 5 6 5 5 3 7 1 8 5 3
Vardas38 Pavarde38 8 5 6 3 3 2 3 3 6 2 5
Vardas39 Pavarde39 10 9 2 2 10 4 9 5 7 5 2
Vardas40 Pavarde40 9 4 4 1 10 1 6 5 4 9 5
Vardas41 Pavarde41 6 6 6 5 10 6 4 2 9 3 5
Vardas42 Pavarde42 5 4 9 2 5 6 8 3 8 3 9
Vardas43 Pavarde43 8 9 1 10 6 5 1 8 2 6 5
Vardas44 Pavarde44 8 2 8 1 4 4 3 8 1 7 1
Vardas45 Pavarde45 9 9 5 5 3 10 7 7 8 4 10
Vardas46 Pavarde46 10 8 1 4 6 3 8 7 7 6 9
Vardas47 Pavarde47 2 1 1 2 6 1 7 10 6 10 2
Vardas48 Pavarde48 5 9 10 1 4 7 6 8 9 10 5
Vardas49 Pavarde49 4 4 3 1 4 2 8 5 2 3 4
Vardas50 Pavarde50 4 1 8 2 5 8 6 2 2 10 4
Vardas51 Pavarde51 4 2 3 5 5 1 2 10 2 4 1
Vardas52 Pavarde52 2 7 9 1 7 3 8 2 9 4 6
Vardas53 Pavarde53 8 4 7 5 8 4 4 7 7 3 8
Vardas54 Pavarde54 2 8 5 9 3 9 4 4 1 10 1
Vardas55 Pavarde55 4 5 9 2 2 8 3 3 8 9 3
Vardas56 Pavarde56 1 8 7 6 7 6 6 6 8 3 9
Vardas57 Pavarde57 9 9 5 2 3 6 10 4 9 9 7
Vardas58 Pavarde58 5 7 3 7 6 2 10 10 1 7 2
Vardas59 Pavarde59 3 10 6 5 3 3 10 3 7 3 2
Vardas60 Pavarde60 7 7 10 3 6 10 3 9 9 4 5
Vardas61 Pavarde61 2 9 1 8 6 3 10 5 9 2 7
Vardas62 Pavarde62 8 5 4 1 6 10 5 8 4 6 5
Vardas63 Pavarde63 1 6 1 7 5 8 3 5 5 5 10
Vardas64 Pavarde64 5 3 10 6 10 6 9 2 10 6 8
Vardas65 Pavarde65 7 1 7 5 7 7 7 3 8 1 7
Vardas66 Pavarde66 1 2 7 3 9 4 3 8 2 4 5
Vardas67 Pavarde67 7 1 1 2 3 7 1 8 1 2 9
Vardas68 Pavarde68 1 9 3 10 1 4 8 3 10 2 7
Vardas69 Pavarde69 2 7 9 5 3 5 1 2 2 3 4
Vardas70 Pavarde70 1 10 9 7 8 6 2 4 6 9 5
Vardas71 Pavarde71 2 9 8 4 3 3 8 6 8 8 1
Vardas72 Pavarde72 6 9 1 10 10 2 3 4 8 4 4
Vardas73 Pavarde73 1 2 9 5 4 5 2 7 4 2 4
Vardas74 Pavarde74 3 9 5 8 5 4 3 8 2 7 2
Vardas75 Pavarde75 10 3 2 10 3 4 5 1 1 3 7
Vardas76 Pavarde76 6 10 2 9 2 2 7 1 8 8 5
Vardas77 Pavarde77 10 6 7 10 8 2 5 5 7 6 6
Vardas78 Pavarde78 7 7 8 5 4 4 7 1 5 5 7
Vardas79 Pavarde79 2 1 7 3 3 4 1 7 4 1 5
Vardas80 Pavarde80 4 4 6 2 10 7 5 5 3 10 10
Vardas81 Pavarde81 4 7 10 3 3 9 2 10 10 4 1
Vardas82 Pavarde82 4 1 6 2 5 3 4 5 8 1 2
Vardas83 Pavarde83 3 6 5 3 10 2 1 7 10 2 9
Vardas84 Pavarde84 2 5 9 8 9 9 6 5 8 8 3
Vardas85 Pavarde85 6 6 7 2 9 10 1 1 2 6 1
Vardas86 Pavarde86 3 9 6 3 1 3 5 1 5 5 9
Vardas87 Pavarde87 7 3 4 5 8 7 3 7 6 3 2
Vardas88 Pavarde88 9 5 7 10 1 1 6 9 5 1 2
Vardas89 Pavarde89 2 7 6 5 8 2 5 10 9 8 4
Vardas90 Pavarde90 3 1 6 4 8 3 6 9 7 2 5
Vardas91 Pavarde91 4 7 7 4 10 5 7 8 9 10 5
Vardas92 Pavarde92 9 10 9 1 8 1 5 5 1 6 1
Vardas93 Pavarde93 2 7 2 7 9 10 10 1 2 6 10
Vardas94 Pavarde94 3 1 4 7 8 4 3 10 6 3 7
Vardas95 Pavarde95 1 5 5 10 3 10 10 4 5 7 8
Vardas96 Pavarde96 10 10 6 8 7 9 9 7 5 10 7
Vardas97 Pavarde97 10 1 1 6 3 2 10 1 4 7 4
Vardas98 Pavarde98 1 7 2 9 10 10 5 1 10 8 8
Vardas99 Pavarde99 2 4 1 7 2 3 1 3 7 1 6
Vardas100 Pavarde100 6 2 9 2 8 9 10 4 2 5 6
Vardas101 Pavarde101 7 3 3 7 4 5 3 3 3 6 2
Vardas102 Pavarde102 7 3 9 9 10 3 7 8 7 3 5
Vardas103 Pavarde103 5 9 8 10 7 4 8 3 10 3 9
Vardas104 Pavarde104 4 5 6 4 9 5 10 6 2 6 10
Vardas105 Pavarde105 3 4 4 5 10 1 8 5 1 5 4
Vardas106 Pavarde106 9 1 1 4 3 8 7 3 1 2 3
Vardas107 Pavarde107 8 3 5 10 5 9 10 1 2 3 6
Vardas108 Pavarde108 7 7 4 5 3 9 8 3 9 3 9
Vardas109 Pavarde109 8 8 7 7 9 10 3 1 8 4 7
Vardas110 Pavarde110 2 8 10 1 4 7 4 10 2 7 4
Vardas111 Pavarde111 4 5 5 10 9 1 5 5 4 10 2
Vardas112 Pavarde112 1 6 6 1 6 2 2 6 10 10 8
Vardas113 Pavarde113 6 1 5 6 2 1 9 6 1 10 4
Vardas114 Pavarde114 10 4 5 7 2 8 4 1 8 7 6
Vardas115 Pavarde115 2 9 8 8 5 1 1 1 2 9 10
Vardas116 Pavarde116 10 9 1 1 9 1 1 1 4 9 8
Vardas117 Pavarde117 1 10 7 9 10 3 8 5 9 8 10
Vardas118 Pavarde118 7 8 5 10 3 4 7 7 7 10 10
Vardas119 Pavarde119 9 9 8 2 4 8 7 2 4 7 2
Vardas120 Pavarde120 6 3 1 9 2 5 4 1 8 2 4
Vardas121 Pavarde121 1 5 4 5 10 2 3 9 1 6 7
Vardas122 Pavarde122 3 2 9 8 3 2 7 6 3 5 2
Vardas123 Pavarde123 5 6 6 10 8 9 3 6 8 8 4
Vardas124 Pavarde124 3 5 7 3 3 6 4 7 1 3 8
Vardas125 Pavarde125 6 5 3 8 7 5 1 1 1 8 9
Vardas126 Pavarde126 6 2 10 1 1 8 9 10 3 6 2
Vardas127 Pavarde127 5 3 10 8 6 9 1 9 4 10 2
Vardas128 Pavarde128 10 7 10 9 7 9 4 9 5 7 6
Vardas129 Pavarde129 9 4 3 8 3 2 6 10 10 2 5
Vardas130 Pavarde130 7 9 10 3 5 1 8 2 1 6 3
Vardas131 Pavarde131 8 3 9 4 9 6 6 8 9 1 9
Vardas132 Pavarde132 7 8 2 9 9 7 3 8 4 10 8
Vardas133 Pavarde133 9 4 2 7 2 5 6 4 1 6 3
Vardas134 Pavarde134 9 2 10 4 7 1 7 4 6 5 1
Vardas135 Pavarde135 2 10 5 8 3 10 7 1 4 4 10
Vardas136 Pavarde136 9 3 8 7 1 3 9 1 2 10 7
Vardas137 Pavarde137 5 5 10 8 8 1 8 5 9 7 9
Vardas138 Pavarde138 6 4 2 2 10 6 1 8 7 9 3
Vardas139 Pavarde139 7 9 2 6 3 6 3 2 6 10 8
Vardas140 Pavarde140 8 10 5 3 2 3 6 10 6 1 5
Vardas141 Pavarde141 7 4 5 10 4 4 6 2 9 2 7
Vardas142 Pavarde142 7 5 7 8 5 4 2 6 6 8 6
Vardas143 Pavarde143 8 8 9 5 5 3 9 2 6 3 7
Vardas144 Pavarde144 3 4 2 6 1 10 2 9 2 3 10
Vardas145 Pavarde145 3 9 1 9 7 1 10 1 6 10 10
Vardas146 Pavarde146 7 2 7 6 4 1 2 6 6 8 4
Vardas147 Pavarde147 4 10 10 9 10 5 4 9 5 8 2
Vardas148 Pavarde148 8 6 5 7 8 6 9 9 5 8 3
Vardas149 Pavarde149 3 8 4 7 9 6 2 1 3 3 10
Vardas150 Pavarde150 7 9 3 2 3 4 9 7 1 3 2
Vardas151 Pavarde151 10 9 9 9 7 2 2 7 10 3 3
Vardas152 Pavarde152 3 5 4 6 7 10 4 7 4 6 3
Vardas153 Pavarde153 7 8 10 3 4 4 9 6 7 4 9
Vardas154 Pavarde154 9 10 9 2 1 4 6 4 4 2 6
Vardas155 Pavarde155 7 5 9 10 6 3 9 4 3 4 5
Vardas156 Pavarde156 4 10 1 7 2 10 4 7 9 4 3
Vardas157 Pavarde157 6 9 7 7 8 7 8 1 10 10 4
Vardas158 Pavarde158 10 10 3 6 4 10 6 1 2 1 1
Vardas159 Pavarde159 8 3 10 5 10 7 4 2 7 6 6
Vardas160 Pavarde160 9 9 8 9 1 7 9 6 10 9 4
Vardas161 Pavarde161 8 1 2 4 9 3 1 8 8 6 8
Vardas162 Pavarde162 5 4 2 6 5 1 4 8 6 4 6
Vardas163 Pavarde163 4 2 1 1 9 7 8 7 2 6 10
Vardas164 Pavarde164 1 2 4 7 1 5 5 5 2 7 4
Vardas165 Pavarde165 2 4 10 8 3 7 1 3 6 6 2
Vardas166 Pavarde166 7 5 3 1 8 3 3 1 3 3 5
Vardas167 Pavarde167 8 10 9 10 9 9 4 1 9 7 5
Vardas168 Pavarde168 6 9 7 7 9 3 4 3 2 1 10
Vardas169 Pavarde169 9 5 10 5 4 4 2 5 4 10 6
Vardas170 Pavarde170 10 5 10 9 6 5 6 10 2 4 2
Vardas171 Pavarde171 1 4 3 5 10 8 6 5 5 5 9
Vardas172 Pavarde172 3 2 8 9 8 5 4 6 1 3 6
Vardas173 Pavarde173 6 9 3 4 7 4 2 5 8 4 7
Vardas174 Pavarde174 1 4 10 1 5 9 5 6 6 2 3
Vardas175 Pavarde175 5 5 2 3 8 5 6 10 9 3 2
Vardas176 Pavarde176 3 7 8 6 9 7 8 5 1 5 9
Vardas177 Pavarde177 3 4 7 3 4 7 2 3 5 3 4
Vardas178 Pavarde178 3 3 7 5 9 4 8 9 2 5 1
Vardas179 Pavarde179 7 8 5 8 10 4 2 4 8 2 5
Vardas180 Pavarde180 8 8 3 6 5 5 2 8 4 4 10
Vardas181 Pavarde181 6 1 9 9 5 1 10 5 8 10 4
